serialNumber,provider
M000000000001,3
M000000000002,4
M000000000003,3
M000000000004,2
M000000000005,2
M000000000006,2
M000000000007,2
M000000000008,2
M000000000009,2
M000000000010,1
M000000000011,1
M000000000012,1
M000000000013,1
M000000000014,1
M000000000015,1
M000000000016,1
M000000000017,1
M000000000018,1
M000000000019,1
M000000000020,1
M000000000021,1
M000000000022,1
M000000000023,1
M000000000024,1
M000000000025,1
M000000000026,1
M000000000027,1
M000000000028,1
M000000000029,1
M000000000030,1
M000000000031,1
M000000000032,1
M000000000033,1
M000000000034,1
M000000000035,1
M000000000036,1
M000000000037,1
M000000000038,1
M000000000039,1
M000000000040,1
M000000000041,1
M000000000042,1
M000000000043,1
M000000000044,1
M000000000045,1
M000000000046,1
M000000000047,1
M000000000048,1
M000000000049,1
M000000000050,1
M000000000051,1
M000000000052,1
M000000000053,2
M000000000054,3
M000000000055,4
M000000000056,4
M000000000057,4
M000000000058,4
M000000000059,4
M000000000060,4
M000000000061,4
M000000000062,4
M000000000063,4
M000000000064,3
M000000000065,2
M000000000066,5
M000000000067,2
M000000000068,2
M000000000069,1
M000000000070,1
M000000000071,1
M000000000072,3
M000000000073,3
M000000000074,5
M000000000075,1
M000000000076,5
M000000000077,2
M000000000078,4
M000000000079,4
M000000000080,4
M000000000081,5
M000000000082,3
M000000000083,2
M000000000084,3
M000000000085,1
M000000000086,2
M000000000087,1
M000000000088,2
M000000000089,5
M000000000090,1
M000000000091,5
M000000000092,4
M000000000093,1
M000000000094,1
M000000000095,4
M000000000096,1
M000000000097,1
M000000000098,4
M000000000099,2
M000000000100,2
M000000000101,1
M000000000102,5
M000000000103,2
M000000000104,2
M000000000105,1
M000000000106,3
M000000000107,5
M000000000108,1
M000000000109,1
M000000000110,1
M000000000111,4
M000000000112,1
M000000000113,4
M000000000114,4
M000000000115,4
M000000000116,5
M000000000117,5
M000000000118,2
M000000000119,1
M000000000120,2
M000000000121,3
M000000000122,2
M000000000123,3
M000000000124,2
M000000000125,2
M000000000126,3
M000000000127,5
M000000000128,2
M000000000129,5
M000000000130,2
M000000000131,1
M000000000132,4
M000000000133,2
M000000000134,1
M000000000135,3
M000000000136,3
M000000000137,1
M000000000138,2
M000000000139,5
M000000000140,4
M000000000141,5
M000000000142,2
M000000000143,1
M000000000144,4
M000000000145,4
M000000000146,2
M000000000147,2
M000000000148,4
M000000000149,5
M000000000150,1
M000000000151,4
M000000000152,2
M000000000153,1
M000000000154,3
M000000000155,3
M000000000156,3
M000000000157,1
M000000000158,1
M000000000159,2
M000000000160,3
M000000000161,2
M000000000162,3
M000000000163,5
M000000000164,5
M000000000165,4
M000000000166,1
M000000000167,5
M000000000168,4
M000000000169,2
M000000000170,1
M000000000171,3
M000000000172,2
M000000000173,2
